time;FM1 ;FM2 ;FM3 ;FF1 ;FF2 ;FF3
1.80;0.00;0.03;-0.04;0.00;0.00;0.02
1.84;0.00;0.03;-0.03;0.00;0.00;0.02
1.88;0.00;0.03;-0.03;0.00;0.00;0.02
1.92;0.00;0.03;-0.03;0.00;0.00;0.02
1.96;0.00;0.04;-0.03;0.00;0.00;0.02
2.00;0.00;0.04;-0.03;0.00;0.00;0.02
2.04;0.00;0.05;-0.03;0.00;0.00;0.02
2.08;0.00;0.05;-0.03;0.00;0.00;0.02
2.12;0.00;0.05;-0.03;0.00;0.00;0.02
2.16;0.00;0.05;-0.03;0.00;0.00;0.02
2.20;0.00;0.06;-0.03;0.00;0.00;0.01
2.24;0.00;0.06;-0.03;0.00;0.00;0.01
2.28;0.00;0.06;-0.03;0.00;0.00;0.01
2.32;0.00;0.06;-0.02;0.00;0.00;0.01
2.36;0.00;0.06;-0.02;0.00;0.00;0.01
2.40;0.00;0.06;-0.01;0.00;0.00;0.01
2.44;0.00;0.06;-0.01;0.00;0.00;0.01
2.48;0.00;0.06;-0.01;0.00;0.00;0.01
2.52;0.00;0.06;-0.01;0.00;0.01;0.01
2.56;0.00;0.06;-0.01;0.00;0.02;0.01
2.60;0.00;0.06;-0.01;0.00;0.02;0.01
2.64;0.00;0.06;-0.01;0.00;0.03;0.01
2.68;0.00;0.06;-0.01;0.00;0.03;0.01
2.72;0.00;0.06;-0.01;0.00;0.04;0.01
2.76;0.00;0.06;-0.01;0.00;0.05;0.01
2.80;0.00;0.06;-0.01;0.00;0.06;0.01
2.84;0.00;0.06;-0.01;0.00;0.06;0.01
2.88;0.00;0.06;-0.00;0.00;0.07;0.01
2.92;0.00;0.06;-0.00;0.00;0.08;0.01
2.96;0.00;0.06;0.00;0.00;0.08;0.01
3.00;0.00;0.06;0.00;0.00;0.08;0.01
3.04;0.01;0.06;0.01;0.00;0.08;0.01
3.08;0.01;0.07;0.02;0.00;0.08;0.01
3.12;0.01;0.07;0.02;0.00;0.08;0.01
3.16;0.01;0.07;0.02;0.00;0.08;0.01
3.20;0.01;0.07;0.02;0.00;0.08;0.01
3.24;0.02;0.07;0.02;0.00;0.08;0.01
3.28;0.03;0.07;0.02;0.00;0.08;0.01
3.32;0.03;0.07;0.02;0.00;0.08;0.01
3.36;0.04;0.07;0.02;0.00;0.08;0.01
3.40;0.06;0.07;0.02;0.04;0.08;0.01
3.44;0.08;0.07;0.02;0.05;0.08;0.01
3.48;0.09;0.07;0.02;0.05;0.08;0.01
3.52;0.10;0.07;0.02;0.05;0.10;0.01
3.56;0.10;0.07;0.02;0.06;0.11;0.01
3.60;0.11;0.07;0.02;0.06;0.12;0.01
3.64;0.13;0.07;0.02;0.07;0.13;0.01
3.68;0.15;0.07;0.02;0.07;0.13;0.01
3.72;0.15;0.07;0.02;0.07;0.13;0.01
3.76;0.15;0.07;0.02;0.08;0.13;0.01
3.80;0.15;0.07;0.02;0.09;0.14;0.01
3.84;0.15;0.07;0.02;0.10;0.14;0.01
3.88;0.15;0.07;0.02;0.11;0.14;0.01
3.92;0.15;0.07;0.02;0.11;0.14;0.01
3.96;0.15;0.07;0.02;0.12;0.14;0.01
4.00;0.15;0.07;0.02;0.13;0.14;0.01
4.04;0.15;0.07;0.02;0.14;0.14;0.01
4.08;0.15;0.07;0.02;0.14;0.14;0.01
4.12;0.15;0.07;0.02;0.15;0.14;0.01
4.16;0.15;0.07;0.02;0.16;0.14;0.01
4.20;0.15;0.07;0.02;0.17;0.14;0.02
4.24;0.15;0.08;0.02;0.17;0.14;0.02
4.28;0.15;0.08;0.02;0.18;0.14;0.02
4.32;0.15;0.08;0.02;0.19;0.14;0.02
4.36;0.14;0.08;0.02;0.20;0.14;0.02
4.40;0.14;0.08;0.02;0.21;0.14;0.02
4.44;0.14;0.08;0.02;0.22;0.14;0.03
4.48;0.14;0.08;0.02;0.23;0.14;0.03
4.52;0.16;0.08;0.02;0.24;0.14;0.04
4.56;0.17;0.08;0.02;0.25;0.14;0.04
4.60;0.19;0.10;0.02;0.26;0.14;0.05
4.64;0.22;0.12;0.02;0.27;0.14;0.05
4.68;0.24;0.15;0.03;0.28;0.14;0.06
4.72;0.27;0.22;0.04;0.29;0.16;0.06
4.76;0.29;0.25;0.06;0.30;0.17;0.07
4.80;0.30;0.25;0.06;0.31;0.17;0.08
4.84;0.30;0.25;0.06;0.32;0.17;0.08
4.88;0.30;0.28;0.07;0.33;0.17;0.08
4.92;0.30;0.38;0.07;0.34;0.17;0.08
4.96;0.30;0.46;0.08;0.36;0.17;0.08
5.00;0.32;0.46;0.08;0.37;0.17;0.08
5.04;0.32;0.46;0.08;0.38;0.17;0.08
5.08;0.32;0.47;0.08;0.39;0.17;0.08
5.12;0.32;0.47;0.09;0.40;0.17;0.08
5.16;0.32;0.47;0.09;0.41;0.17;0.10
5.20;0.33;0.47;0.09;0.42;0.17;0.11
5.24;0.33;0.47;0.09;0.43;0.17;0.11
5.28;0.33;0.47;0.09;0.43;0.17;0.11
5.32;0.33;0.47;0.09;0.44;0.18;0.11
5.36;0.33;0.47;0.09;0.45;0.18;0.11
5.40;0.33;0.47;0.09;0.46;0.19;0.11
5.44;0.33;0.47;0.09;0.47;0.19;0.11
5.48;0.33;0.47;0.09;0.48;0.19;0.11
5.52;0.33;0.47;0.09;0.48;0.19;0.11
5.56;0.33;0.47;0.09;0.49;0.20;0.11
5.60;0.33;0.46;0.09;0.50;0.20;0.11
5.64;0.33;0.45;0.10;0.51;0.20;0.11
5.68;0.33;0.44;0.11;0.51;0.20;0.11
5.72;0.34;0.44;0.11;0.52;0.20;0.11
5.76;0.35;0.43;0.11;0.53;0.20;0.11
5.80;0.35;0.43;0.12;0.53;0.20;0.11
5.84;0.35;0.43;0.12;0.54;0.20;0.11
5.88;0.35;0.42;0.12;0.55;0.20;0.11
5.92;0.35;0.42;0.13;0.55;0.20;0.11
5.96;0.35;0.42;0.13;0.56;0.20;0.11
6.00;0.35;0.41;0.13;0.57;0.20;0.11
6.04;0.35;0.40;0.13;0.57;0.20;0.11
6.08;0.35;0.39;0.13;0.58;0.20;0.11
6.12;0.35;0.38;0.13;0.59;0.20;0.11
6.16;0.35;0.37;0.13;0.59;0.20;0.11
6.20;0.35;0.36;0.13;0.60;0.20;0.11
6.24;0.35;0.36;0.13;0.60;0.20;0.11
6.28;0.35;0.36;0.14;0.61;0.20;0.11
6.32;0.35;0.36;0.14;0.61;0.20;0.11
6.36;0.35;0.36;0.14;0.62;0.21;0.11
6.40;0.35;0.36;0.14;0.63;0.22;0.11
6.44;0.35;0.36;0.15;0.63;0.23;0.11
6.48;0.35;0.36;0.15;0.64;0.23;0.11
6.52;0.35;0.36;0.15;0.64;0.23;0.11
6.56;0.34;0.36;0.15;0.65;0.23;0.11
6.60;0.34;0.36;0.16;0.65;0.23;0.11
6.64;0.34;0.36;0.16;0.66;0.23;0.11
6.68;0.34;0.36;0.16;0.66;0.23;0.11
6.72;0.34;0.36;0.16;0.67;0.23;0.11
6.76;0.34;0.36;0.17;0.68;0.23;0.11
6.80;0.34;0.36;0.17;0.70;0.23;0.11
6.84;0.34;0.36;0.18;0.71;0.23;0.11
6.88;0.34;0.36;0.18;0.72;0.23;0.11
6.92;0.34;0.36;0.20;0.73;0.23;0.11
6.96;0.34;0.36;0.20;0.73;0.23;0.11
7.00;0.34;0.36;0.21;0.74;0.23;0.11
7.04;0.34;0.40;0.21;0.75;0.23;0.11
7.08;0.34;0.42;0.21;0.75;0.23;0.11
7.12;0.34;0.42;0.21;0.76;0.23;0.11
7.16;0.34;0.42;0.21;0.77;0.23;0.10
7.20;0.34;0.42;0.21;0.77;0.23;0.09
7.24;0.34;0.42;0.21;0.78;0.23;0.09
7.28;0.34;0.42;0.21;0.78;0.23;0.09
7.32;0.34;0.42;0.21;0.79;0.23;0.09
7.36;0.34;0.42;0.21;0.79;0.23;0.09
7.40;0.34;0.41;0.21;0.80;0.23;0.09
7.44;0.33;0.36;0.21;0.80;0.23;0.09
7.48;0.33;0.34;0.21;0.81;0.23;0.09
7.52;0.32;0.33;0.21;0.81;0.23;0.09
7.56;0.32;0.33;0.21;0.81;0.23;0.09
7.60;0.32;0.33;0.21;0.82;0.23;0.09
7.64;0.32;0.33;0.21;0.82;0.23;0.09
7.68;0.32;0.33;0.21;0.82;0.23;0.09
7.72;0.32;0.33;0.21;0.82;0.23;0.09
7.76;0.32;0.32;0.21;0.83;0.23;0.09
7.80;0.32;0.32;0.21;0.83;0.23;0.09
7.84;0.32;0.31;0.21;0.83;0.23;0.10
7.88;0.32;0.31;0.21;0.83;0.23;0.10
7.92;0.32;0.31;0.21;0.83;0.23;0.10
7.96;0.32;0.31;0.22;0.83;0.23;0.10
8.00;0.32;0.31;0.22;0.83;0.23;0.10
8.04;0.32;0.31;0.22;0.83;0.23;0.11
8.08;0.33;0.31;0.22;0.83;0.23;0.11
8.12;0.33;0.31;0.22;0.83;0.23;0.11
8.16;0.33;0.31;0.22;0.83;0.23;0.11
8.20;0.33;0.31;0.22;0.83;0.23;0.11
8.24;0.33;0.31;0.22;0.83;0.23;0.12
8.28;0.33;0.31;0.22;0.82;0.23;0.12
8.32;0.33;0.31;0.23;0.82;0.23;0.12
8.36;0.34;0.31;0.24;0.82;0.23;0.12
8.40;0.35;0.31;0.28;0.82;0.23;0.12
8.44;0.36;0.31;0.27;0.82;0.23;0.12
8.48;0.37;0.31;0.27;0.82;0.23;0.12
8.52;0.37;0.33;0.27;0.82;0.23;0.13
8.56;0.37;0.36;0.27;0.82;0.23;0.13
8.60;0.37;0.37;0.27;0.82;0.23;0.13
8.64;0.37;0.37;0.27;0.82;0.23;0.13
8.68;0.37;0.38;0.27;0.82;0.23;0.13
8.72;0.37;0.38;0.27;0.82;0.23;0.13
8.76;0.37;0.38;0.27;0.82;0.23;0.13
8.80;0.37;0.38;0.27;0.82;0.23;0.13
8.84;0.37;0.38;0.27;0.82;0.23;0.13
8.88;0.37;0.38;0.26;0.82;0.23;0.13
8.92;0.37;0.38;0.26;0.82;0.23;0.13
8.96;0.37;0.38;0.26;0.82;0.23;0.13
9.00;0.36;0.38;0.25;0.82;0.23;0.13
9.04;0.36;0.38;0.25;0.82;0.21;0.13
9.08;0.36;0.38;0.25;0.82;0.20;0.13
9.12;0.36;0.38;0.24;0.82;0.19;0.12
9.16;0.36;0.38;0.24;0.82;0.18;0.12
9.20;0.36;0.38;0.24;0.82;0.18;0.12
9.24;0.36;0.38;0.24;0.82;0.18;0.12
9.28;0.36;0.38;0.24;0.82;0.18;0.12
9.32;0.36;0.38;0.23;0.82;0.18;0.12
9.36;0.36;0.38;0.23;0.82;0.18;0.12
9.40;0.36;0.38;0.23;0.82;0.18;0.12
9.44;0.36;0.38;0.23;0.82;0.18;0.12
9.48;0.36;0.37;0.23;0.82;0.18;0.12
9.52;0.36;0.37;0.23;0.82;0.18;0.12
9.56;0.36;0.37;0.23;0.82;0.17;0.12
9.60;0.35;0.37;0.23;0.82;0.17;0.12
9.64;0.34;0.37;0.23;0.82;0.17;0.12
9.68;0.34;0.37;0.23;0.82;0.17;0.12
9.72;0.33;0.37;0.23;0.82;0.17;0.12
9.76;0.33;0.37;0.23;0.82;0.17;0.12
9.80;0.32;0.35;0.23;0.81;0.17;0.11
9.84;0.30;0.34;0.23;0.81;0.17;0.11
9.88;0.29;0.33;0.23;0.81;0.17;0.11
9.92;0.29;0.31;0.23;0.81;0.16;0.11
9.96;0.28;0.29;0.23;0.80;0.15;0.11
10.00;0.28;0.28;0.23;0.80;0.13;0.11
10.04;0.27;0.28;0.23;0.80;0.11;0.11
10.08;0.27;0.28;0.23;0.79;0.10;0.11
10.12;0.27;0.28;0.23;0.79;0.10;0.11
10.16;0.27;0.28;0.23;0.79;0.10;0.11
10.20;0.27;0.28;0.23;0.79;0.10;0.11
10.24;0.27;0.28;0.23;0.79;0.10;0.11
10.28;0.26;0.28;0.23;0.79;0.10;0.11
10.32;0.26;0.27;0.23;0.78;0.10;0.11
10.36;0.26;0.27;0.23;0.78;0.10;0.11
10.40;0.26;0.27;0.23;0.77;0.10;0.11
10.44;0.25;0.27;0.23;0.75;0.10;0.11
10.48;0.25;0.26;0.23;0.72;0.10;0.11
10.52;0.24;0.25;0.22;0.70;0.10;0.11
10.56;0.24;0.25;0.22;0.69;0.10;0.11
10.60;0.24;0.25;0.22;0.69;0.10;0.11
10.64;0.23;0.23;0.22;0.69;0.10;0.11
10.68;0.23;0.23;0.22;0.68;0.10;0.11
10.72;0.23;0.22;0.22;0.67;0.10;0.11
10.76;0.23;0.21;0.21;0.67;0.10;0.11
10.80;0.23;0.20;0.21;0.66;0.10;0.11
10.84;0.23;0.20;0.20;0.65;0.10;0.11
10.88;0.23;0.20;0.20;0.64;0.10;0.11
10.92;0.23;0.19;0.20;0.64;0.10;0.11
10.96;0.23;0.18;0.19;0.63;0.10;0.11
11.00;0.23;0.17;0.19;0.62;0.10;0.11
11.04;0.23;0.17;0.19;0.62;0.10;0.11
11.08;0.23;0.17;0.18;0.61;0.10;0.11
11.12;0.23;0.17;0.17;0.61;0.10;0.11
11.16;0.23;0.17;0.17;0.60;0.10;0.11
11.20;0.23;0.16;0.17;0.59;0.10;0.11
11.24;0.23;0.16;0.15;0.58;0.10;0.11
11.28;0.23;0.16;0.14;0.58;0.11;0.12
11.32;0.23;0.16;0.13;0.57;0.11;0.12
11.36;0.23;0.16;0.12;0.57;0.11;0.12
11.40;0.23;0.16;0.11;0.56;0.13;0.12
11.44;0.23;0.16;0.10;0.56;0.15;0.12
11.48;0.23;0.16;0.09;0.55;0.15;0.12
11.52;0.23;0.16;0.08;0.54;0.15;0.12
11.56;0.23;0.16;0.08;0.54;0.16;0.12
11.60;0.23;0.16;0.07;0.54;0.16;0.12
11.64;0.23;0.16;0.07;0.53;0.16;0.12
11.68;0.23;0.16;0.07;0.53;0.16;0.12
11.72;0.23;0.16;0.07;0.52;0.16;0.12
11.76;0.23;0.16;0.07;0.52;0.16;0.12
11.80;0.23;0.16;0.07;0.52;0.16;0.12
11.84;0.23;0.16;0.07;0.52;0.16;0.12
11.88;0.23;0.16;0.07;0.52;0.16;0.12
11.92;0.23;0.16;0.07;0.52;0.16;0.12
11.96;0.23;0.16;0.07;0.52;0.16;0.12
12.00;0.23;0.16;0.07;0.52;0.16;0.12
12.04;0.23;0.16;0.07;0.52;0.16;0.12
12.08;0.23;0.16;0.07;0.52;0.16;0.13
12.12;0.23;0.17;0.07;0.52;0.16;0.13
12.16;0.23;0.20;0.06;0.52;0.16;0.13
12.20;0.23;0.21;0.06;0.52;0.16;0.13
12.24;0.23;0.21;0.06;0.52;0.16;0.13
12.28;0.23;0.21;0.05;0.52;0.16;0.13
12.32;0.23;0.21;0.05;0.52;0.16;0.13
12.36;0.23;0.21;0.05;0.52;0.16;0.13
12.40;0.23;0.21;0.04;0.52;0.16;0.13
12.44;0.23;0.21;0.04;0.52;0.16;0.13
12.48;0.23;0.21;0.04;0.52;0.16;0.13
12.52;0.23;0.21;0.04;0.52;0.16;0.13
12.56;0.23;0.21;0.03;0.52;0.16;0.13
12.60;0.23;0.21;0.03;0.52;0.16;0.13
12.64;0.23;0.21;0.03;0.52;0.16;0.13
12.68;0.23;0.21;0.03;0.52;0.16;0.13
12.72;0.23;0.21;0.03;0.52;0.16;0.13
12.76;0.23;0.21;0.02;0.52;0.16;0.13
12.80;0.23;0.21;0.02;0.53;0.16;0.13
12.84;0.23;0.21;0.01;0.53;0.16;0.13
12.88;0.23;0.21;0.01;0.53;0.16;0.13
12.92;0.23;0.21;0.01;0.54;0.16;0.13
12.96;0.23;0.21;0.01;0.54;0.16;0.13
13.00;0.23;0.21;0.01;0.55;0.16;0.13
13.04;0.23;0.21;0.01;0.55;0.17;0.13
13.08;0.23;0.21;0.01;0.56;0.17;0.13
13.12;0.23;0.21;0.01;0.56;0.18;0.13
13.16;0.23;0.21;0.01;0.56;0.18;0.13
13.20;0.23;0.21;0.01;0.56;0.18;0.13
13.24;0.23;0.21;0.01;0.57;0.19;0.13
13.28;0.23;0.21;-0.00;0.57;0.19;0.13
13.32;0.23;0.20;-0.02;0.57;0.19;0.13
13.36;0.23;0.20;-0.02;0.57;0.19;0.13
13.40;0.23;0.20;-0.02;0.57;0.19;0.13
13.44;0.22;0.20;-0.02;0.57;0.19;0.13
13.48;0.21;0.20;-0.02;0.58;0.19;0.13
13.52;0.21;0.20;-0.02;0.58;0.19;0.13
13.56;0.20;0.19;-0.01;0.58;0.19;0.13
13.60;0.19;0.19;-0.01;0.58;0.20;0.13
13.64;0.18;0.18;-0.01;0.59;0.20;0.13
13.68;0.17;0.18;-0.01;0.59;0.20;0.13
13.72;0.17;0.18;-0.01;0.59;0.20;0.13
13.76;0.16;0.18;-0.01;0.59;0.21;0.13
13.80;0.14;0.18;-0.01;0.59;0.23;0.13
13.84;0.12;0.18;-0.01;0.59;0.26;0.13
13.88;0.12;0.18;-0.01;0.60;0.26;0.13
13.92;0.11;0.18;-0.01;0.60;0.26;0.13
13.96;0.11;0.17;-0.01;0.60;0.26;0.13
14.00;0.10;0.17;-0.01;0.60;0.26;0.13
14.04;0.10;0.17;-0.00;0.60;0.27;0.13
14.08;0.10;0.17;-0.00;0.60;0.27;0.13
14.12;0.10;0.17;-0.00;0.60;0.27;0.13
14.16;0.10;0.17;-0.00;0.60;0.27;0.13
14.20;0.10;0.17;-0.00;0.60;0.27;0.13
14.24;0.10;0.17;0.00;0.60;0.27;0.13
14.28;0.10;0.17;0.00;0.60;0.27;0.13
14.32;0.10;0.17;0.01;0.60;0.27;0.13
14.36;0.10;0.17;0.01;0.60;0.27;0.13
14.40;0.10;0.17;0.02;0.60;0.27;0.13
14.44;0.10;0.17;0.03;0.60;0.27;0.13
14.48;0.10;0.17;0.03;0.60;0.27;0.13
14.52;0.10;0.16;0.05;0.60;0.27;0.13
14.56;0.10;0.16;0.06;0.60;0.27;0.13
14.60;0.10;0.16;0.06;0.60;0.27;0.13
14.64;0.10;0.16;0.07;0.60;0.27;0.13
14.68;0.10;0.16;0.07;0.60;0.27;0.13
14.72;0.10;0.16;0.07;0.60;0.27;0.13
14.76;0.10;0.16;0.07;0.60;0.27;0.13
14.80;0.10;0.16;0.07;0.60;0.27;0.13
14.84;0.10;0.16;0.07;0.60;0.27;0.13
14.88;0.10;0.16;0.07;0.60;0.27;0.13
14.92;0.10;0.15;0.07;0.60;0.27;0.13
14.96;0.10;0.14;0.07;0.60;0.27;0.13
15.00;0.11;0.14;0.07;0.60;0.27;0.13
15.04;0.12;0.13;0.06;0.60;0.27;0.13
15.08;0.12;0.12;0.06;0.60;0.26;0.13
15.12;0.13;0.11;0.06;0.60;0.26;0.13
15.16;0.14;0.11;0.06;0.60;0.26;0.13
15.20;0.14;0.11;0.06;0.60;0.24;0.13
15.24;0.15;0.10;0.06;0.60;0.23;0.13
15.28;0.15;0.10;0.06;0.60;0.21;0.12
15.32;0.15;0.10;0.06;0.60;0.20;0.12
15.36;0.16;0.10;0.06;0.61;0.20;0.12
15.40;0.16;0.09;0.06;0.61;0.19;0.12
15.44;0.16;0.08;0.06;0.61;0.19;0.12
15.48;0.16;0.07;0.06;0.61;0.19;0.12
15.52;0.16;0.07;0.06;0.61;0.19;0.12
15.56;0.16;0.07;0.05;0.61;0.19;0.11
15.60;0.16;0.06;0.05;0.62;0.19;0.11
15.64;0.16;0.06;0.05;0.62;0.19;0.11
15.68;0.16;0.06;0.05;0.62;0.19;0.11
15.72;0.16;0.05;0.04;0.63;0.19;0.10
15.76;0.16;0.05;0.04;0.63;0.19;0.09
15.80;0.16;0.05;0.04;0.63;0.19;0.09
15.84;0.16;0.05;0.04;0.64;0.19;0.08
15.88;0.16;0.05;0.03;0.64;0.18;0.08
15.92;0.16;0.05;0.03;0.64;0.17;0.08
15.96;0.15;0.04;0.03;0.64;0.15;0.08
16.00;0.15;0.04;0.03;0.64;0.14;0.08
16.04;0.15;0.04;0.02;0.64;0.14;0.08
16.08;0.15;0.04;0.02;0.64;0.14;0.08
16.12;0.15;0.04;0.01;0.64;0.14;0.07
16.16;0.15;0.04;0.01;0.64;0.14;0.07
16.20;0.15;0.04;0.01;0.64;0.14;0.06
16.24;0.15;0.04;0.01;0.64;0.14;0.06
16.28;0.15;0.04;0.01;0.64;0.14;0.05
16.32;0.15;0.04;0.01;0.64;0.14;0.05
16.36;0.15;0.04;0.01;0.64;0.14;0.04
16.40;0.15;0.04;0.01;0.64;0.14;0.04
16.44;0.15;0.04;0.01;0.64;0.14;0.04
16.48;0.15;0.04;0.01;0.64;0.14;0.04
16.52;0.15;0.04;0.01;0.64;0.14;0.04
16.56;0.15;0.04;0.01;0.64;0.14;0.03
16.60;0.15;0.04;0.01;0.64;0.14;0.03
16.64;0.14;0.04;0.01;0.64;0.14;0.03
16.68;0.13;0.04;0.01;0.64;0.14;0.02
16.72;0.13;0.04;0.01;0.64;0.13;0.02
16.76;0.12;0.04;0.01;0.64;0.12;0.02
16.80;0.12;0.04;0.01;0.64;0.12;0.02
16.84;0.12;0.04;0.01;0.64;0.12;0.02
16.88;0.12;0.04;0.01;0.64;0.11;0.02
16.92;0.12;0.04;0.01;0.64;0.10;0.02
16.96;0.11;0.04;0.01;0.64;0.10;0.02
17.00;0.11;0.04;0.01;0.64;0.10;0.02
17.04;0.11;0.04;0.01;0.64;0.10;0.02
17.08;0.11;0.04;0.01;0.63;0.10;0.02
17.12;0.11;0.04;0.01;0.63;0.10;0.02
17.16;0.11;0.04;0.01;0.63;0.10;0.02
17.20;0.11;0.04;0.01;0.63;0.10;0.02
17.24;0.10;0.04;0.01;0.63;0.10;0.02
17.28;0.10;0.04;0.01;0.62;0.10;0.02
17.32;0.10;0.04;0.01;0.62;0.09;0.02
17.36;0.10;0.04;0.01;0.62;0.09;0.02
17.40;0.09;0.04;0.01;0.62;0.09;0.02
17.44;0.08;0.04;0.01;0.62;0.09;0.02
17.48;0.08;0.04;0.01;0.62;0.08;0.02
17.52;0.08;0.04;0.01;0.62;0.08;0.02
17.56;0.08;0.04;0.01;0.61;0.08;0.02
17.60;0.08;0.04;0.01;0.61;0.07;0.02
17.64;0.08;0.04;0.01;0.61;0.06;0.02
17.68;0.08;0.04;0.01;0.61;0.05;0.02
17.72;0.08;0.04;0.01;0.61;0.03;0.02
17.76;0.08;0.04;0.01;0.60;0.02;0.02
17.80;0.07;0.04;0.01;0.60;0.02;0.02
17.84;0.07;0.04;0.01;0.60;0.02;0.02
17.88;0.07;0.04;0.01;0.60;0.02;0.02
17.92;0.07;0.04;0.01;0.60;0.02;0.02
17.96;0.07;0.04;0.01;0.59;0.02;0.02
18.00;0.07;0.04;0.01;0.59;0.01;0.02
18.04;0.07;0.04;0.01;0.59;0.01;0.02
18.08;0.05;0.04;0.00;0.59;0.01;0.02
18.12;0.03;0.04;0.00;0.59;0.01;0.02
18.16;0.00;0.04;0.00;0.59;0.01;0.02
18.20;-0.01;0.04;0.00;0.59;0.01;0.02
18.24;-0.03;0.04;-0.00;0.59;0.01;0.02
18.28;-0.04;0.04;-0.00;0.59;0.01;0.02
18.32;-0.06;0.04;-0.00;0.59;0.01;0.02
18.36;-0.07;0.04;-0.01;0.59;0.01;0.02
18.40;-0.08;0.04;-0.01;0.59;0.01;0.02
18.44;-0.09;0.05;-0.01;0.59;0.01;0.02
18.48;-0.10;0.05;-0.01;0.58;0.01;0.02
18.52;-0.10;0.05;-0.01;0.58;0.01;0.02
18.56;-0.11;0.05;-0.01;0.57;0.01;0.03
18.60;-0.11;0.05;-0.01;0.57;0.01;0.03
18.64;-0.11;0.06;-0.01;0.57;0.01;0.03
18.68;-0.11;0.07;-0.01;0.57;0.01;0.03
18.72;-0.11;0.07;-0.01;0.57;0.01;0.03
18.76;-0.11;0.08;-0.01;0.57;0.01;0.03
18.80;-0.11;0.09;-0.01;0.57;0.01;0.03
18.84;-0.11;0.09;-0.01;0.57;0.01;0.03
18.88;-0.11;0.09;-0.02;0.57;0.01;0.03
18.92;-0.11;0.09;-0.03;0.57;0.01;0.03
18.96;-0.11;0.09;-0.03;0.57;0.01;0.03
19.00;-0.11;0.09;-0.03;0.57;0.01;0.03
19.04;-0.11;0.09;-0.03;0.57;0.00;0.03
19.08;-0.11;0.09;-0.03;0.57;-0.01;0.03
19.12;-0.11;0.10;-0.03;0.57;-0.02;0.03
19.16;-0.11;0.10;-0.03;0.57;-0.03;0.03
19.20;-0.11;0.10;-0.03;0.57;-0.04;0.03
19.24;-0.11;0.10;-0.04;0.57;-0.04;0.03
19.28;-0.11;0.11;-0.04;0.57;-0.04;0.03
19.32;-0.11;0.11;-0.05;0.57;-0.04;0.03
19.36;-0.11;0.11;-0.05;0.57;-0.04;0.03
19.40;-0.11;0.11;-0.05;0.57;-0.04;0.03
19.44;-0.11;0.11;-0.05;0.57;-0.04;0.03
19.48;-0.11;0.11;-0.05;0.57;-0.04;0.03
19.52;-0.11;0.11;-0.05;0.57;-0.04;0.03
19.56;-0.11;0.12;-0.06;0.57;-0.04;0.04
19.60;-0.11;0.12;-0.06;0.57;-0.04;0.04
19.64;-0.11;0.12;-0.06;0.57;-0.04;0.04
